Crop Name,Crop Name_el,Max(min),Max(max),Depletion Fraction (p) ,kc - Fek,Kya f16/6631/1989 category
Cucumber - Machine Harvest,Αγγουράκι - Μηχανικής συγκομιδής,0.7,1.2,0.5,0.7,4
Cucumber - Fresh Market,Αγγούρι,0.7,1.2,0.5,0.7,4
Artichokes,Αγκινάρα,0.6,0.9,0.45,0.65,3
Kiwi,Ακτινίδιο,0.7,1.3,0.35,0.8,6
Other Leafy Vegetables,Άλλα φυλλώδη λαχανικά,0.15,0.15,0.4,0.7,4
Other Large Crop Plants,Άλλα φυτά μεγάλης καλλιέργειας,0.3,0.3,0.55,0.75,5
Other Tree Crops,Άλλες δενδρώδεις καλλιέργειες,0.3,0.3,0.52,0.65,3
Almonds,Αμυγδαλιά,1,2,0.4,0.65,3
Cotton,Βαμβάκι,1,1.7,0.65,0.65,3
"Apricots, Peaches, Cherries, Stone Fruit","Βερικοκιά, Ροδακινιά, Κερασιά, Λοιπά πυρηνόκαρπα",1,2,0.5,0.65,3
Oats,Βρώμη,1,1.5,0.55,0.75,5
Sweet Potato,Γλυκοπατάτα,1,1.5,0.65,0.7,4
Turnip (and Rutabaga),Γογγύλι,0.5,1,0.5,0.7,4
"Rapeseed, Canola",Ελαιοκράμβη,1,1.5,0.6,0.65,3
Olives (40 to 60% ground coverage by canopy),Ελιά (40 ως 60% κάλυψη εδάφους),1.2,1.7,0.65,0.55,1
Citrus - 20% Canopy,Εσπεριδοειδή - 20% κάλυψη εδάφους,0.8,1.1,0.5,0.55,1
Citrus - 50% Canopy,Εσπεριδοειδή - 50% κάλυψη εδάφους,1.1,1.5,0.5,0.55,1
Citrus - 70% Canopy,Εσπεριδοειδή - 70% κάλυψη εδάφους,1.2,1.5,0.5,0.55,1
Sugar Cane,Ζαχαροκάλαμο,1.2,2,0.65,0.8,6
Sugar Beet,Ζαχαρότευτλο,0.7,1.2,0.55,0.7,4
Sunflower,Ηλιοτρόπιο,0.8,1.5,0.45,0.7,4
"Maize, Sweet (sweet corn)",Καλαμπόκι γλυκό,0.8,1.2,0.5,0.75,5
Safflower,Κάρδαμο,1,2,0.6,0.65,3
Carrots,Καρότο,0.5,1,0.35,0.7,4
Watermelon,Καρπούζι,0.8,1.5,0.4,0.7,4
Walnut Orchard,Καρυδιά,1.7,2.4,0.5,0.65,3
"Pumpkin, Winter Squash",Κολοκύθα,1,1.5,0.35,0.7,4
"Squash, Zucchini",Κολοκυθάκι,0.6,1,0.5,0.7,4
Fababean (broad bean) - Dry/Seed,Κουκί ξερό,0.5,0.7,0.45,0.65,3
Fababean (broad bean) - Fresh,Κουκί χλωρό,0.5,0.7,0.45,0.65,3
Cauliflower,Κουνουπίδι,0.4,0.7,0.45,0.7,4
Onions-seed,Κρεμμύδι - κοκκάρι,0.3,0.6,0.3,0.7,4
Onions- dry,Κρεμμύδι - ξερός βολβός,0.3,0.6,0.35,0.7,4
Onions-green,Κρεμμύδι χλωρό,0.3,0.6,0.2,0.7,4
Barley,Κριθάρι,1,1.5,0.55,0.75,5
Cabbage,Λάχανο,0.5,0.8,0.45,0.7,4
Brussel Sprouts,Λάχανο Βρυξελλών,0.4,0.6,0.45,0.7,4
Flax,Λινάρι,1,1.5,0.5,0.65,3
Rye Grass hay,Λόλιο - για σανό,0.6,1,0.6,0.55,1
Lettuce,Μαρούλι,0.3,0.5,0.3,0.7,4
Egg Plant,Μελιτζάνα,0.7,1.2,0.45,0.7,4
Mint,Μέντα,0.4,0.8,0.4,0.65,3
Alfalfa - for hay,Μηδική - για σανό,1,2,0.55,0.55,1
"Apples, Pears","Μηλιά, Αχλαδιά",1,2,0.5,0.65,3
Berries (bushes),Μούρο (θάμνος),0.6,1.2,0.5,0.55,1
Peas - Fresh,Μπιζέλι - νωπό,0.6,1,0.35,0.65,3
Peas - Dry/Seed,Μπιζέλι - ξερό/σπόρος,0.6,1,0.4,0.65,3
Broccoli,Μπρόκολο,0.4,0.6,0.45,0.7,4
Potato,Πατάτα,0.4,0.6,0.35,0.7,4
Sweet Melons,Πεπόνι,0.8,1.5,0.4,0.7,4
Sweet Peppers (bell),Πιπεριά φλάσκα,0.5,1,0.3,0.7,4
Radishes,Ραπανάκι,0.3,0.5,0.3,0.7,4
Chick pea,Ρεβίθι ,0.6,1,0.5,0.65,3
Green Gram and Cowpeas,Ροβίτσα και Αμπελοφάσουλο,0.6,1,0.45,0.65,3
Rice,Ρύζι,0.5,1,0.2,1.2,8
Celery,Σέλινο,0.3,0.5,0.2,0.7,4
Sesame,Σήσαμο,1,1.5,0.6,0.65,3
Spring Wheat,Σιτάρι εαρινό,1,1.5,0.55,0.75,5
Winter Wheat,Σιτάρι χειμερινό,1,1.8,0.55,0.75,5
Garlic,Σκόρδο,0.3,0.5,0.3,0.7,4
Soybeans,Σόγια,0.6,1.3,0.5,0.65,3
Sorghum - grain,Σόργο ,1,2,0.55,0.75,5
Spinach,Σπανάκι,0.3,0.5,0.45,0.7,4
Asparagus,Σπαράγγι,1.2,1.8,0.45,0.65,3
Grapes - Table or Raisin,Σταφύλι - Επιτραπέζιες ποικιλίες ή Σταφίδα,1,2,0.35,0.55,1
Grapes - Wine,Σταφύλια - Οινοποίηση,1,2,0.45,0.55,1
Tomato,Τομάτα,0.7,1.5,0.4,0.7,4
"Clover hay, Berseem",Τριφύλλι - για σανό,0.6,0.9,0.5,0.55,1
Lentil,Φακή,0.6,0.8,0.5,0.65,3
"Beans, green",Φασόλι - χλωρό,0.5,0.7,0.45,0.65,3
Strawberries,Φράουλα,0.2,0.3,0.2,0.65,3
Pistachios,Φυστικιά,1,1.5,0.4,0.65,3
Turf grass - warm session ,Χλοοτάπητας θερμόφιλλος,0.5,1,0.5,0.85,6
Turf grass - cool season,Χλοοτάπητας ψυχρόφιλος,0.5,1,0.4,0.95,6
